name,identity,alignment,appearanceCount,yearOfAppearance
Esteban Carracus,Public Identity,,9,1977
Hecate,No Dual Identity,Bad,9,1977
Leo (LMD),Secret Identity,Bad,9,1977
Libra (LMD),Secret Identity,Bad,9,1977
Belathauzer,Secret Identity,,9,1978
Priscilla Dolly,,,9,1978
Utgard-Loki,Secret Identity,Bad,9,1978
Virako,Secret Identity,Good,9,1978
Thoran Rul,Public Identity,,9,1979
Clifford Michaels,Secret Identity,Bad,9,1980
Fafnir (Frost Giant),,Bad,9,1980
Hodiak,,Good,9,1980
John Daltry,,Good,9,1980
Lou Monkton,,,9,1980
August Masters,,Bad,9,1981
Beverly Cross,,Bad,9,1981
Biff Rifkin,No Dual Identity,Neutral,9,1981
Dherk,Secret Identity,Bad,9,1981
Kirigi,Secret Identity,Bad,9,1981
Nanna (Asgardian),Secret Identity,,9,1981
Nell Jones,,,9,1981
Paul Jansen,Public Identity,Good,9,1981
Hyper-Ultronic Brain Employing Randomized Tracings,Public Identity,Good,9,1982
Myron Wilburn,Public Identity,Neutral,9,1982
Null the Living Darkness,Secret Identity,Bad,9,1982
Nurse Stevens,,Good,9,1982
Tom\u00e1s Ram\u00edrez,,Bad,9,1982
Feldspar,Public Identity,Neutral,9,1983
Nina da Costa,Public Identity,Good,9,1983
Volx,Public Identity,Bad,9,1983
Friedrich von Roehm,Secret Identity,,9,1984
Healer,Secret Identity,Good,9,1984
Maraud,Secret Identity,Bad,9,1984
Philip Watson,,,9,1984
Roger Willis,Secret Identity,Good,9,1984
Baba Yaga,Secret Identity,Bad,9,1985
Cybele,Secret Identity,Good,9,1985
Gudrun (Asgardian),,Good,9,1985
Kariooq,Public Identity,Bad,9,1985
Kura,Public Identity,Neutral,9,1985
O.Z. Chase,Public Identity,Good,9,1985
Piper (Morlock),Secret Identity,Neutral,9,1985
Black Raazer,,Bad,9,1986
Glynis Zarkov,Public Identity,Good,9,1986
Ilya Zarkov,Public Identity,Good,9,1986
Jack Brennan,No Dual Identity,Good,9,1986
Lewis Haywerth,Public Identity,Neutral,9,1986
Sharon Banks,Public Identity,Good,9,1986
Simeon,Public Identity,,9,1986
Urthona,,Bad,9,1986
Anya Eisenhardt,No Dual Identity,Good,9,1987
Bill (Lobster),,Good,9,1987
Cort Zo Tinnus,Secret Identity,Neutral,9,1987
Daniel Bannion,Secret Identity,Bad,9,1987
Thomas Bannion,Secret Identity,Bad,9,1987
Alex (Inferno Baby),Secret Identity,Bad,9,1988
Crotus,,Bad,9,1988
Dei Guan,Secret Identity,Good,9,1988
Exitar,,Neutral,9,1988
Gerald Stone,,Bad,9,1988
Infectia (Josephine),Secret Identity,Bad,9,1988
James Kincaid,,Good,9,1988
Jody Choate,No Dual Identity,Bad,9,1988
Kwaku Anansi,No Dual Identity,Good,9,1988
Lloyd Zahner,,,9,1988
Marc Riemer,Secret Identity,Bad,9,1988
Michael Phillips,Public Identity,Neutral,9,1988
Sandy Kintzler,Public Identity,Good,9,1988
Shauna,Secret Identity,Bad,9,1988
Gina Dyson,Public Identity,,9,1989
Lian Shen,,,9,1989
Ray Lippert,Public Identity,Good,9,1989
Worm (Savage Land Mutate),Secret Identity,Bad,9,1989
Beatta Dubiel,Secret Identity,,9,1990
Danielle Forte,Secret Identity,Bad,9,1990
Jorrma,Public Identity,Neutral,9,1990
Joseph Trinity,Secret Identity,Good,9,1990
Purple Hayes,Secret Identity,Good,9,1990
Allen Marc Yuric,Secret Identity,Bad,9,1991
Argus LaVecchio,Secret Identity,Good,9,1991
Aya Komatsu,,,9,1991
Broderick Bazin,,,9,1991
Chainsaw,,Bad,9,1991
Guy Cross-Wallace,Public Identity,,9,1991
Impala,Secret Identity,,9,1991
Jonin,,Bad,9,1991
Markus Ettlinger,Secret Identity,Good,9,1991
Nadia Dornova,Public Identity,Neutral,9,1991
Norman Harrison,Secret Identity,Bad,9,1991
Origin,Secret Identity,Good,9,1991
Steve Rubino,,,9,1991
Anthony Grant,Secret Identity,Bad,9,1992
Ayla Ranefer,Secret Identity,Bad,9,1992
Dargin Bokk,Secret Identity,Bad,9,1992
Dwarf,Secret Identity,Bad,9,1992
Marlene McKenna,Public Identity,Good,9,1992
Segismund Joshua,Secret Identity,Neutral,9,1992
Tigerstryke (Mitchell),Secret Identity,Neutral,9,1992
Black Axe,Secret Identity,,9,1993
Darklore,Secret Identity,Good,9,1993
Dylon-Cir,Secret Identity,Bad,9,1993
Edward Passim,,,9,1993
Priapus,,Bad,9,1993
Skeletron,Secret Identity,Bad,9,1993
William Hastings,Secret Identity,Good,9,1993
Advisor,Secret Identity,Bad,9,1994
Carlos Cruz,Secret Identity,Good,9,1994
Cartier St. Croix,Public Identity,Good,9,1994
Cassiopeia (Pantheon),Secret Identity,Good,9,1994
Deluge (Avatars),Secret Identity,Bad,9,1994
Doris Jacquet,,Good,9,1994
Dusk (Demon),,Bad,9,1994
Foundry (Avatars),Secret Identity,Bad,9,1994
Kateri Deseronto,Secret Identity,Bad,9,1994
Lich,,Bad,9,1994
Talos,Public Identity,Neutral,9,1994
Zefra,Secret Identity,Good,9,1994
Derek Smalls,Secret Identity,Bad,9,1995
Eelak,No Dual Identity,Good,9,1995
Hal Flynt,,Neutral,9,1995
Morfex,Secret Identity,Good,9,1995
Wendy Christiansen,,Neutral,9,1995
William Destine,Secret Identity,,9,1995
Amora (Heroes Reborn),Public Identity,Bad,9,1996
Cary St. Lawrence,Public Identity,Good,9,1996
Daria,,,9,1996
Gomurr,,Good,9,1996
Leonard Samson (Heroes Reborn),Public Identity,Good,9,1996
Sledge,Secret Identity,,9,1996
Victor von Doom (Heroes Reborn),Public Identity,Bad,9,1996
Delphis,Secret Identity,Good,9,1997
Hunger (Crown),Secret Identity,Bad,9,1997
Lian Goh,Secret Identity,,9,1997
M9 (Nina),,Good,9,1997
Mark Howard,Public Identity,,9,1997
Cerebro (Founder),,,9,1998
Ilaney Brukner,,,9,1998
Wilhelmina Lumpkin,Public Identity,Good,9,1998
Aria,No Dual Identity,Good,9,1999
Badd Axe,Secret Identity,Bad,9,1999
Bounty (Humanoid),Secret Identity,Neutral,9,1999
Mercedes Wilson,Secret Identity,,9,1999
Pagan,,Bad,9,1999
Ranger (Terrorist),,,9,1999
Theodore Twaki,Public Identity,Good,9,1999
Yoshiro Hachiman,,,9,1999
Amanda Mueller,Secret Identity,Bad,9,2000
Ameiko Sabuki,Secret Identity,Good,9,2000
Ashley Martin,No Dual Identity,,9,2000
Elite (Vigilante Squad),Secret Identity,Good,9,2000
Hector Ridondo,Secret Identity,Good,9,2000
Neffethesk,Public Identity,Good,9,2000
Vradec,,Good,9,2000
Maguire Beck,Secret Identity,Bad,9,2001
Sharon Ginsberg,No Dual Identity,Neutral,9,2002
Andrea Margulies,Secret Identity,,9,2003
Bobby Soul,Secret Identity,Neutral,9,2003
Cameron Palmer,Public Identity,,9,2003
Dallas Gibson,Secret Identity,Good,9,2003
Elizabeth Kendal,Public Identity,Neutral,9,2003
Gail Collins,,Good,9,2003
Henry Pierce,Public Identity,Neutral,9,2003
Ian Kendall,Public Identity,,9,2003
Jeffrey Garrett,Secret Identity,,9,2003
Robbie Rodriguez,Secret Identity,Good,9,2003
Callie Betto,Secret Identity,,9,2004
Edward Mulligan,,Neutral,9,2004
Edward Tancredi,Secret Identity,Good,9,2004
Hanna Levy,Public Identity,Good,9,2004
Mar,Secret Identity,,9,2004
Mark Sheppard,Secret Identity,Good,9,2004
Native,Secret Identity,Good,9,2004
Thunder (Major Mapleleaf),,Good,9,2004
Gabriel Vargas,Secret Identity,Good,9,2005
Hunter (Pride),Secret Identity,Neutral,9,2005
Megan Kinney,Secret Identity,Neutral,9,2005
Micah,Secret Identity,Bad,9,2005
Stretch,Secret Identity,Neutral,9,2005
Stu Cicero,Public Identity,Good,9,2005
Adam Harkins,Secret Identity,Bad,9,2006
Cru,Secret Identity,Good,9,2006
Dirk Anger,No Dual Identity,Neutral,9,2006
Jeremiah Muldoon,Secret Identity,Good,9,2006
Kerberos,Public Identity,Good,9,2006
Nathaniel Briggs,Secret Identity,Good,9,2006
Dennis Murray,Public Identity,,9,2007
Elizabeth Benning,,Neutral,9,2007
Leon Murtaugh,Secret Identity,Bad,9,2007
Tinkabelinos Hardleg,Secret Identity,Good,9,2007
Blackagar Boltagon (Skrull),Secret Identity,Bad,9,2008
Citadel,Secret Identity,Bad,9,2008
Freak (Vagrant),Secret Identity,Bad,9,2008
James Madrox (Cortex),Secret Identity,Bad,9,2008
Argus,Secret Identity,Bad,9,2009
Ashcroft (A.I.M.),Secret Identity,Bad,9,2009
Blake (A.I.M.),Secret Identity,Bad,9,2009
Bouncing Betty,Secret Identity,Bad,9,2009
Gustavo Zapata,,Bad,9,2009
Lobe,Secret Identity,Bad,9,2009
Rigo Zapata,,Bad,9,2009
Twitchy,Secret Identity,Good,9,2009
Unspoken,Secret Identity,Neutral,9,2009
Charles Ulysses,Secret Identity,Bad,9,2010
Eric Solvang,Public Identity,Good,9,2010
Founder (Red Right Hand),,Bad,9,2010
Ninja (Red Right Hand),,Bad,9,2010
Old Woman (Red Right Hand),,Bad,9,2010
Son (Red Right Hand),,Bad,9,2010
William Downing,Secret Identity,Bad,9,2010
Xarus,Secret Identity,Bad,9,2010
Amanda von Doom,,Neutral,9,2011
Buck Lime,No Dual Identity,Good,9,2011
Christian Poulsen,,Bad,9,2011
Hel Wolf,Public Identity,Bad,9,2011
Sanjar Javeed,Secret Identity,Neutral,9,2011
Scorn (Symbiote),,Good,9,2011
Winsor,,Bad,9,2011
Joelle,Secret Identity,Good,9,2012
Sigurd (Bor),Secret Identity,Good,9,2012
Weapon III,,Bad,9,2012
Agent Gorman,No Dual Identity,Bad,9,2013
Carrie (Nova),,Good,9,2013
Charles Cotta,Secret Identity,Good,9,2013
Gorr (God Butcher),Public Identity,Bad,9,2013
Droom,Public Identity,Bad,8,1960
Orrgo,Public Identity,Bad,8,1961
Rorgg,Public Identity,Bad,8,1961
"Benjamin Grimm (Skrull, Cow)",Secret Identity,Bad,8,1962
Igor Drenkov,Secret Identity,Bad,8,1962
"Jonathan Storm (Skrull, Cow)",Secret Identity,Bad,8,1962
Margus,,,8,1962
"Reed Richards (Skrull, Cow)",Secret Identity,Bad,8,1962
B. J. Kosmojian,,Neutral,8,1963
Molto,Secret Identity,,8,1963
Valtrauta,Secret Identity,Good,8,1963
Blackie Gaxton,No Dual Identity,Bad,8,1964
Infant Terrible,,Neutral,8,1964
Oshtur,Secret Identity,Good,8,1964
Rabble Rouser (Weinberg),Secret Identity,,8,1964
Wilson Allan,No Dual Identity,,8,1964
Ernst Mueller,No Dual Identity,Bad,8,1965
Fritz von Sydow,No Dual Identity,Bad,8,1965
Gregson Gilbert,Public Identity,Good,8,1965
Ludwig Schroeder,No Dual Identity,Bad,8,1965
Manfred Adler,No Dual Identity,Bad,8,1965
Otto Rabe,No Dual Identity,Bad,8,1965
Tiboro,No Dual Identity,,8,1965
Abraham Lincoln,Public Identity,Neutral,8,1966
Bornag Royale,Public Identity,Bad,8,1966
Juan Meroz,,,8,1966
Tri-Man,,Bad,8,1966
Brona,Secret Identity,,8,1967
Caldwell Rozza,Secret Identity,Bad,8,1967
Magnir,Secret Identity,Bad,8,1967
Gerhard Winkler,,,8,1968
Jeremy Logan,,,8,1968
Krimonn,Secret Identity,Bad,8,1969
Super-Humanoid,,Bad,8,1969
Valeria (Latverian),No Dual Identity,Neutral,8,1969
Igron,Public Identity,Bad,8,1970
Marcus Lassiter,,Bad,8,1970
Yeti (Inhuman),Secret Identity,Neutral,8,1970
Rafe Michel,,,8,1971
Richard Janus,Public Identity,Bad,8,1971
Stoneface,Secret Identity,Bad,8,1971
Tagak,,,8,1971
Astrella Carpenter,,,8,1972
Danny French,,Neutral,8,1972
Jake Jensen,Public Identity,Good,8,1972
Bi-Beast,Public Identity,Bad,8,1973
Janice Carr,No Dual Identity,Good,8,1973
Kamuu (Ancient Atlantis),No Dual Identity,Good,8,1973
Lou Hackett,Secret Identity,Neutral,8,1973
Lucy Westenra,Secret Identity,,8,1973
Mrs. Jenks,,Good,8,1973
Ningal,,Bad,8,1973
Ronald McAllister,,,8,1973
Victor von Doom (Counter-Earth),Public Identity,Good,8,1973
Xorr the God-Jewel,,Bad,8,1973
Zartra (Ancient Atlantis),No Dual Identity,Good,8,1973
Annie Christopher,,,8,1974
Dude Jensen,,Bad,8,1974
Jean Claude Pennysworth,Public Identity,Bad,8,1974
Joseph Jennings,,,8,1974
Miles Olddann,No Dual Identity,Good,8,1974
Ninja,Secret Identity,Bad,8,1974
Ralph Caccone,Public Identity,Good,8,1974
Carson Collier Senior,Public Identity,,8,1975
Heater Delight,Secret Identity,,8,1976
Ronald English,Secret Identity,Bad,8,1976
Scimitar,,Bad,8,1976
William Hao,,Bad,8,1976
Angus MacWhirter,,,8,1977
Aquarius (LMD),Secret Identity,Bad,8,1977
Dromedan,,Bad,8,1977
James Callaghan,,,8,1977
Laralei,Public Identity,Neutral,8,1977
Nigel Pigman,Public Identity,Bad,8,1977
Valerie Campbell,No Dual Identity,Good,8,1977
Abd-el-Hazred,Secret Identity,Bad,8,1978
Geri,,Good,8,1978
Gladstone Hawkins,Public Identity,Good,8,1978
Peter Spaulding,Public Identity,Good,8,1978
Victor von Doom (Clone),,,8,1978
Combatra,,,8,1979
Dangard Ace,,,8,1979
Deathlok (Robot),,Neutral,8,1979
Lady Lotus,Secret Identity,Bad,8,1979
Prime Director,,Good,8,1979
Raydeen,,,8,1979
Steven Coffin,Public Identity,Good,8,1979
Tanak Valt,Public Identity,,8,1979
Bel-Dann,No Dual Identity,Bad,8,1980
Dolly Donahue,Public Identity,Good,8,1980
Jill Stevens,Public Identity,Good,8,1980
Karas,Public Identity,Good,8,1980
Lou Snider,Public Identity,,8,1980
Rupert Dockery,Public Identity,Bad,8,1980
Vishnu (Hindu Deity),,,8,1980
Avarrish,,Bad,8,1981
Ernest Carrothers,Public Identity,Good,8,1981
Fashima,,Bad,8,1981
Jonathan Darque,Secret Identity,Bad,8,1981
Manfred Haller,Secret Identity,Bad,8,1981
Charon (Olympian),,,8,1982
Franz Mittelstaedt,Secret Identity,Good,8,1982
Juliana Sandoval,,Good,8,1982
Martha Lund,Public Identity,Good,8,1982
Sophie Lund,Public Identity,Good,8,1982
Wal Rus,Public Identity,Good,8,1982
Annie Wheeler,Public Identity,Good,8,1983
Ed Wheeler,Public Identity,Good,8,1983
Kenji Oyama,,Bad,8,1983
Dragonrider,Public Identity,Bad,8,1984
Ernest St. Ives,Public Identity,Bad,8,1984
Hoodwink,Secret Identity,Bad,8,1984
Madeline Watson,,,8,1984
Maria Rambeau,Public Identity,Good,8,1984
Max Rocker,Public Identity,,8,1984
Nidhogg,Public Identity,Bad,8,1984
Chiantang,Secret Identity,,8,1985
Scion,Secret Identity,Good,8,1985
Tolomaq,Public Identity,Bad,8,1985
Valdemar Tykkio,Secret Identity,Bad,8,1985
Yorgon Tykkio,Secret Identity,Bad,8,1985
Derek Freeman,No Dual Identity,Good,8,1986
Solaise,Public Identity,,8,1986
Wendy Sherman,Secret Identity,Neutral,8,1986
David Stack,Secret Identity,Good,8,1987
Jonathan Gallagher,Secret Identity,Bad,8,1987
Maht Pacle,Secret Identity,,8,1987
Prometheus,Public Identity,Good,8,1987
Samuel Smith,,Bad,8,1987
Ani-Mator,Secret Identity,Bad,8,1988
Bob (Inferno Baby),Secret Identity,Bad,8,1988
Jacob Eichorn,Secret Identity,Bad,8,1988
Jason McCall,Secret Identity,,8,1988
Maw (Inferno Baby),Secret Identity,Bad,8,1988
Roche,Public Identity,Bad,8,1988
Black Shadow,,Bad,8,1989
Elmer Gore,Public Identity,Bad,8,1989
Jody Putt,Secret Identity,Bad,8,1989
Uroc,Secret Identity,,8,1989
Haruo Tsuburaya,Secret Identity,,8,1990
Juliana Worthing,Secret Identity,Bad,8,1990
Jun Tenta,Secret Identity,Bad,8,1990
Marjorie Brink,Public Identity,Good,8,1990
Tyler Meagher,Public Identity,Neutral,8,1990
Wanda Mason,,Good,8,1990
Werner von Strucker,Secret Identity,Bad,8,1990
Anne Marie Cortez,No Dual Identity,Bad,8,1991
Aundray Phelps,Secret Identity,Good,8,1991
Dubose Wilson,,Bad,8,1991
Edna Staples,Public Identity,Good,8,1991
Jennifer Nyles,Public Identity,Neutral,8,1991
LaHoya Scripps,Secret Identity,Good,8,1991
Psynapse,Secret Identity,Bad,8,1991
Tung Rapongan,Secret Identity,Bad,8,1991
Wyndell Dickinson,Secret Identity,Bad,8,1991
Aaron Cashin,Secret Identity,Bad,8,1992
Christopher Anderson,Secret Identity,Bad,8,1992
Crule,Secret Identity,Bad,8,1992
Daryl Taylor,Public Identity,Good,8,1992
Gregory Belial,Secret Identity,Bad,8,1992
Heike Zemo,Secret Identity,Bad,8,1992
Janice Hollenbeck,,Good,8,1992
Meat Market,Secret Identity,Bad,8,1992
Solar Wind,Secret Identity,Neutral,8,1992
Theodore Davros,Secret Identity,Bad,8,1992
Thomas Pyke,,Good,8,1992
Czorn Yson,Secret Identity,Good,8,1993
Don Rigoletto,,Bad,8,1993
Fast (Sparrow),Secret Identity,Bad,8,1993
Hans Middlestadt,Secret Identity,Good,8,1993
Henrique Gallante,Secret Identity,Bad,8,1993
Jason (Pantheon),Secret Identity,Neutral,8,1993
Kistur,,,8,1993
Owen Llewelyn,Secret Identity,Good,8,1993
Philip Grant,Public Identity,Bad,8,1993
Radha Dastoor,Public Identity,Neutral,8,1993
William Clinton,Public Identity,Good,8,1993
Amberson Osborn,No Dual Identity,Neutral,8,1994
Black Brigade,Secret Identity,Bad,8,1994
Butterfly (Avatars),Secret Identity,Bad,8,1994
Cole Cooper,Public Identity,,8,1994
Deadbolt,Secret Identity,Bad,8,1994
Dread,Secret Identity,Bad,8,1994
Gabrielle Greer,Public Identity,Good,8,1994
Hywell Griffin,Secret Identity,Bad,8,1994
Ian Langstrom,,,8,1994
James Pierce,Secret Identity,Good,8,1994
Lenz,Secret Identity,Bad,8,1994
Marius Boudreaux,Public Identity,Bad,8,1994
Protocol,,Bad,8,1994
Rak,Secret Identity,Bad,8,1994
Tantalus (Deviant),Secret Identity,Bad,8,1994
Arkadine Arcadius,No Dual Identity,Bad,8,1995
Ator,No Dual Identity,Bad,8,1995
Glaboo,Public Identity,,8,1995
Jason Tso,Public Identity,Bad,8,1995
Joseph Wade,Secret Identity,Bad,8,1995
Michele Scicluna,Secret Identity,Good,8,1995
Paula Harris,Public Identity,Good,8,1995
Peter Parker (Jack),Secret Identity,Neutral,8,1995
Pulssus,Public Identity,,8,1995
River Verys,Public Identity,Bad,8,1995
Sergio Torres,Secret Identity,Bad,8,1995
Spook,Secret Identity,Bad,8,1995
Agatha Harkness (Heroes Reborn),No Dual Identity,Good,8,1996
Dorma (Heroes Reborn),,,8,1996
Garon Lewis,Public Identity,,8,1996
Harper,Secret Identity,Bad,8,1996
Johann Shmidt (Heroes Reborn),,Bad,8,1996
Josephine Pulaski,Public Identity,Bad,8,1996
Kamal el Alaoui,Secret Identity,Bad,8,1996
Norrin Radd (Heroes Reborn),,Good,8,1996
Romany Wisdom,Secret Identity,Neutral,8,1996
Whistle Pig,Public Identity,,8,1996
Ashema,,Neutral,8,1997
Homer Un,,Bad,8,1997
Lord Churchill,Secret Identity,Good,8,1997
Marina Caches,Public Identity,,8,1997
Mary Alice Anders,No Dual Identity,Neutral,8,1997
Max Pressman,Secret Identity,Bad,8,1997
Meiko Yin,,Bad,8,1997
Naomi Kale,Secret Identity,Good,8,1997
Nikolai Vronsky,Secret Identity,Bad,8,1997
Scrier (Cosmic Being),,Neutral,8,1997
Sorrentino,Public Identity,,8,1997
Cinder Fontatine,Secret Identity,Bad,8,1998
Jason Rivera,Public Identity,,8,1998
Vise,Secret Identity,Bad,8,1998
Connie Ferrari,Public Identity,Good,8,1999
Gray Dolman,,,8,1999
Lord Templar (Tremont),,Bad,8,1999
Olisa Kabaki,Secret Identity,Bad,8,1999
Psimon,Secret Identity,Good,8,1999
Tokkots,,Bad,8,1999
Venkat Katregadda,Secret Identity,Bad,8,1999
William Kimpton,Secret Identity,Good,8,1999
Elric Freedom (Heroes Reborn),Secret Identity,,8,2000
Lan,Public Identity,Good,8,2000
Nathaniel Bumpo,Public Identity,Good,8,2000
Nuro,Public Identity,Good,8,2000
Revenant,Secret Identity,Bad,8,2000
Spunje,Public Identity,Good,8,2000
Tarn,Public Identity,Good,8,2000
Timothy Carney,Secret Identity,Good,8,2000
Axel Cluney,Secret Identity,Neutral,8,2001
Jennifer Hardesty,Public Identity,Good,8,2001
Marvin Hoffman,Secret Identity,Bad,8,2001
Michael Asher,Secret Identity,Neutral,8,2001
Orwell,Secret Identity,Neutral,8,2001
Robert Tanaka,Public Identity,Neutral,8,2001
Roger Harrington,,,8,2001
"Samuel Silke, Jr.",Public Identity,Bad,8,2001
Eliza Robbins,,Neutral,8,2002
Khan (Alien),Secret Identity,,8,2002
Leash,Secret Identity,Bad,8,2002
Yith,,Bad,8,2002
Ashleigh Nichols,No Dual Identity,Neutral,8,2003
Digger (Vegas Thirteen),Public Identity,Bad,8,2003
Josiah al hajj Saddiq,Secret Identity,Good,8,2003
Zarina,No Dual Identity,Bad,8,2003
Bobo (Chimpanzee),,Good,8,2004
Hack (Mutant),,Good,8,2004
Lucia von Bardas,Secret Identity,Bad,8,2004
Luna DePaula,Public Identity,Good,8,2004
Shen Xorn,Secret Identity,Good,8,2004
Augustine du Lac,Secret Identity,Bad,8,2005
Dondi Reese,Public Identity,Neutral,8,2005
Edgar Lascombe,Secret Identity,Bad,8,2005
Igor Stancheck,Secret Identity,Bad,8,2005
Laurie Lynton,Public Identity,Good,8,2005
Rozalyn Backus,,,8,2005
Zander Rice,,Bad,8,2005
Aegis,Secret Identity,Neutral,8,2006
Black Cloak,Secret Identity,Bad,8,2006
Hypernova,Secret Identity,Bad,8,2006
Jack Dio,Secret Identity,Bad,8,2006
Perro,Secret Identity,Bad,8,2006
Serafina,Secret Identity,Bad,8,2006
Tenebrous,,Bad,8,2006
Tracy Skylark,Public Identity,Good,8,2006
Veronica King,No Dual Identity,Good,8,2006
Warshot,Secret Identity,Bad,8,2006
Anthony Stark (Onslaught Reborn),Secret Identity,Good,8,2007
Grace,Secret Identity,,8,2007
Kaz,Secret Identity,,8,2007
Maureen Raven,,Good,8,2007
William Wagner,Secret Identity,Good,8,2007
Cronus,Public Identity,Bad,8,2008
Director Gruenwald,,,8,2008
Evelyn Necker,Public Identity,Neutral,8,2008
Fredzilla (Fred),Secret Identity,Good,8,2008
Henry McCoy (Skrull),Secret Identity,Bad,8,2008
Kram,Public Identity,Good,8,2008
Lenore Wilkinson,No Dual Identity,Neutral,8,2008
Malik Tarcel,Secret Identity,Good,8,2008
Physique,Secret Identity,Good,8,2008
Piper Dali,Secret Identity,Bad,8,2008
Plokta,Secret Identity,Bad,8,2008
Sasha Roerich,Secret Identity,Neutral,8,2008
Wasabi-No Ginger,Secret Identity,Good,8,2008
Amity Hunter,Secret Identity,Bad,8,2009
Clown (Franklin),Secret Identity,Bad,8,2009
Tattooed Man,Secret Identity,Bad,8,2009
Verre,Secret Identity,Bad,8,2009
Zawavari,Public Identity,Good,8,2009
Zodiac (Dark Reign),Secret Identity,Bad,8,2009
Alyssa,Secret Identity,Neutral,8,2010
Danielle Blunt,Secret Identity,Bad,8,2010
Doctor Noc,Secret Identity,Bad,8,2010
Fire Knives,Secret Identity,Bad,8,2010
Jason Pierce,Secret Identity,Bad,8,2010
Jian,No Dual Identity,Good,8,2010
Kal Blackbane,Secret Identity,Good,8,2010
Lady Gorgon,Secret Identity,Bad,8,2010
Logomancer,Secret Identity,Good,8,2010
Mina,Secret Identity,Neutral,8,2010
Robert Hellsgaard,Secret Identity,Bad,8,2010
Starbolt II,Secret Identity,Good,8,2010
Black Fog,Secret Identity,Bad,8,2011
Mako (Young Masters),Secret Identity,Bad,8,2011
William Rolfson,Secret Identity,Bad,8,2011
Firebrand (Amanda),Secret Identity,Bad,8,2012
Kell,Public Identity,,8,2012
Mister Gor,Secret Identity,Neutral,8,2012
Xanto Starblood,Secret Identity,Bad,8,2012
Donald Lamaze,No Dual Identity,Good,8,2013
Ginny Guzman,Secret Identity,Neutral,8,2013
Mr. Raven,Secret Identity,Bad,8,2013
Ben Yarby (Shotgun City),No Dual Identity,Good,7,1956
Shzzzllzzzthzz,Secret Identity,Neutral,7,1961
Kurrgo,,Bad,7,1962
Andrew Thatcher,Public Identity,,7,1963
Karl Kort,Public Identity,Bad,7,1963
Living Eraser (Dimension Z),Secret Identity,,7,1963
Molyb,Secret Identity,Bad,7,1963
Orson Kasloff,Secret Identity,Bad,7,1963
Pearla,Public Identity,Good,7,1963
Reynard Slinker,Secret Identity,Bad,7,1963
Knorda,,,7,1964
Gregory Gideon,No Dual Identity,Bad,7,1965
Jacques Dernier,,Good,7,1965
Laufey,No Dual Identity,Bad,7,1965
Precious,,Bad,7,1965
Stephanie De La Spiroza,Public Identity,Good,7,1965
Doctor Yen,,Bad,7,1966
General Chen,Secret Identity,Bad,7,1966
Ilsa Koenig,No Dual Identity,Good,7,1966
Lepard,Secret Identity,Good,7,1966
Ricardo Jones,Public Identity,Neutral,7,1966
Fidel Castro,No Dual Identity,Neutral,7,1967
Alecto (Furies),,,7,1968
Android Man,Secret Identity,Bad,7,1968
Man-Monster,,Bad,7,1968
Max Eisenhardt (Machinesmith Robot),Secret Identity,Bad,7,1968
Monster of Badoon,Public Identity,Bad,7,1968
Prime Mover,,Bad,7,1968
Silent Fox,Secret Identity,Good,7,1968
Vincent Sandhurst,Public Identity,,7,1968
William Lincoln,No Dual Identity,Good,7,1968
Boss Barker,Public Identity,Bad,7,1969
Gustav Hauptmann,,,7,1969
Louis Wilson,Public Identity,Bad,7,1969
Thermal Man,Secret Identity,Bad,7,1969
Niki Adams,,Good,7,1970
Owayodata,Secret Identity,Good,7,1970
Rudolfo Haasen,Public Identity,,7,1970
Emil Nikos,No Dual Identity,Bad,7,1971
Joey (San Francisco),Public Identity,Good,7,1971
Nancy Stacy,Public Identity,,7,1971
Abraham van Helsing,No Dual Identity,Good,7,1972
Ego Prime,,,7,1972
Gregory Russoff,Public Identity,,7,1972
Sligguth,Secret Identity,Bad,7,1972
Bambu,,Good,7,1973
Clifton Shallot,Known to Authorities Identity,Bad,7,1973
Dam-Ayido Wede,Public Identity,Bad,7,1973
David Cox,Public Identity,Good,7,1973
Elizabeth Lavenza,Public Identity,Neutral,7,1973
Eobar Garrington,,,7,1973
Kamuu (Atlantean),Public Identity,Good,7,1973
Kerwin Broderick,Public Identity,Bad,7,1973
Omega (Android),Secret Identity,Bad,7,1973
Turghol,Public Identity,,7,1973
Allatou,,Bad,7,1974
Hargood Wilbur Todd Wickham,,Bad,7,1974
Henry Croft,Public Identity,Good,7,1974
Jacques LaPoint,Secret Identity,Bad,7,1974
John Anvil,Public Identity,Bad,7,1974
Jyota Nital,No Dual Identity,Good,7,1974
Katherine Fraser,No Dual Identity,Good,7,1974
Leroy Jackson,,Bad,7,1974
Quentin Harderman,Public Identity,Bad,7,1974
Ruth Hart,Public Identity,,7,1974
Shiela Whittier,No Dual Identity,Good,7,1974
Varanus,,Bad,7,1974
Adri Nital,No Dual Identity,Bad,7,1975
Bessie,Secret Identity,Bad,7,1975
Carlton Velcro,Secret Identity,Bad,7,1975
General Chasen,No Dual Identity,Neutral,7,1975
Jade,,Good,7,1975
Judith (San Diego),No Dual Identity,Good,7,1975
Quentin Chase,Public Identity,Good,7,1975
Sphinxor,Public Identity,,7,1975
Sssesthugar,,Bad,7,1975
Thelius (Blue Marvel),Secret Identity,Bad,7,1975
Alan Cavenaugh,,,7,1976
Arch Morton,,,7,1976
